som_size,learning_rate,sigma,workload_pattern,avg_response_time,avg_utilization,load_variance,rejection_rate,load_balance_score,performance_score,execution_time,load_distribution
"(6, 6)",0.1,1.0,mixed,0.2388698880819489,0.47665812944619523,0.06590398861205404,0.79,0.030993339889121316,0.3887858081667811,0.027950286865234375,"[8, 23, 29, 36, 69, 58, 114, 63]"
"(6, 6)",0.1,1.0,bursty,0.2320062571661112,0.49034557227328,0.06268810782437677,0.8375,0.025153660726283947,0.3816204694478329,0.024767637252807617,"[7, 10, 71, 54, 31, 58, 136, 33]"
"(6, 6)",0.1,1.0,periodic,0.28058686761794205,0.5578866073950197,0.027486895954826535,0.8075,0.018774493378704647,0.38997726006851985,0.023701190948486328,"[5, 4, 9, 13, 130, 132, 26, 81]"
"(6, 6)",0.1,1.5,mixed,0.25708475005834,0.593780852550462,0.06224446827693685,0.835,0.021358256458201018,0.39681104173507176,0.02506422996520996,"[19, 12, 13, 14, 35, 142, 61, 104]"
"(6, 6)",0.1,1.5,bursty,0.20767350743737445,0.4439230917537022,0.058649448116310135,0.7975,0.02188232011880522,0.3842608247428405,0.02119135856628418,"[18, 22, 26, 57, 16, 79, 155, 27]"
"(6, 6)",0.1,1.5,periodic,0.2719452252889226,0.5504987482897561,0.0392543133419542,0.7625,0.024373530129118418,0.40077102184154123,0.02619624137878418,"[18, 17, 42, 44, 48, 26, 150, 55]"
"(6, 6)",0.1,2.0,mixed,0.24278161049066715,0.451460886544214,0.0722875470052496,0.865,0.029667399188633994,0.3675863776873026,0.020830869674682617,"[33, 15, 25, 19, 81, 66, 115, 46]"
"(6, 6)",0.1,2.0,bursty,0.2542211262237417,0.4715647007703706,0.06550454394878372,0.835,0.032869187579773335,0.3763659678125999,0.029539823532104492,"[11, 31, 43, 44, 23, 100, 91, 57]"
"(6, 6)",0.1,2.0,periodic,0.2605389973453483,0.4999175500505903,0.060092765568959206,0.7525,0.05153267896167568,0.4029367439945416,0.019989013671875,"[15, 49, 31, 52, 75, 67, 64, 47]"
"(6, 6)",0.1,2.5,mixed,0.2572985879152813,0.46522363423302915,0.07676685426565222,0.81,0.025693090084702212,0.3773594596725607,0.021993160247802734,"[20, 15, 37, 32, 43, 68, 142, 43]"
"(6, 6)",0.1,2.5,bursty,0.23296465060561664,0.44971640661696866,0.060902471447278866,0.8375,0.024089220422441274,0.3729860256110927,0.02044963836669922,"[10, 10, 37, 26, 22, 116, 68, 111]"
